date,area,area_type,unvaccinated_cases,vaccinated_cases,unvaccinated_hosp,vaccinated_hosp,unvaccinated_deaths,vaccinated_deaths,population_unvaccinated,population_vaccinated,unvaccinated_cases_per_100k,vaccinated_cases_per_100k,unvaccinated_hosp_per_100k,vaccinated_hosp_per_100k,unvaccinated_deaths_per_100k,vaccinated_deaths_per_100k
2021-02-01,California,State,13176,20,777,0,367,0,30550927,334402,38.05729739,3.88753656,2.25852394,0.12816055,1.08016362,0.0
2021-02-02,California,State,10755,17,610,0,307,0,30435163,368021,35.93118356,3.41595414,2.19576847,0.11645298,1.07206823,0.0
2021-02-03,California,State,9752,24,541,0,302,0,30300786,404052,34.2772815,3.53561281,2.07679667,0.10606838,1.06597895,0.0
2021-02-04,California,State,8471,15,486,0,285,0,30138658,425118,32.5737321,3.42761976,1.98321467,0.10081235,1.04990929,0.0
2021-02-05,California,State,8019,15,506,0,318,0,29976635,440742,31.34345895,3.43576449,1.90767624,0.03241287,1.05320122,0.0
2021-02-06,California,State,5658,9,373,1,256,0,29873685,453719,30.018775,3.40046845,1.83295576,0.06297164,1.02479107,0.0
2021-02-07,California,State,4398,8,375,0,247,0,29815817,458707,28.85764578,3.3634916,1.75745645,0.03114344,0.99755298,0.0
2021-02-08,California,State,7956,27,458,1,275,0,29700189,495893,26.45918708,3.31292667,1.61086036,0.05761612,0.95718487,0.0
2021-02-09,California,State,6565,15,418,1,257,0,29561916,536062,24.55814144,3.01137875,1.52561153,0.07994811,0.93749964,0.0
2021-02-10,California,State,6262,24,385,0,270,0,29412402,577799,22.98787333,2.79385342,1.45759699,0.0741731,0.92672278,0.0
2021-02-11,California,State,5562,26,329,1,271,0,29250875,614009,21.69410073,2.88502053,1.38896944,0.09306518,0.92500285,0.0
2021-02-12,California,State,5230,19,361,2,231,0,29094873,650713,20.44100936,2.81010434,1.32522121,0.13172364,0.88724518,0.0
2021-02-13,California,State,3795,11,268,0,204,0,28980189,666819,19.6035397,2.7850779,1.27870604,0.10711838,0.86512302,0.0
2021-02-14,California,State,3003,5,238,0,201,0,28911357,672133,18.96091264,2.6992957,1.21405578,0.10627148,0.84445312,0.0
2021-02-15,California,State,4517,24,286,2,193,0,28783125,715591,17.33853231,2.47547631,1.13409705,0.11978111,0.80751681,0.0
2021-02-16,California,State,4782,22,319,0,205,0,28633950,762909,16.53930786,2.45301677,1.09061347,0.09362659,0.78578052,0.0
2021-02-17,California,State,4286,22,256,1,197,0,28469397,820176,15.6433641,2.2469045,1.03218604,0.10450719,0.75369151,0.0
2021-02-18,California,State,3658,26,232,0,180,0,28294323,884028,14.77883542,2.084614,0.98959781,0.08079899,0.71240944,0.0
2021-02-19,California,State,3479,20,238,1,196,0,28118473,966688,13.98165744,1.92113987,0.93329596,0.059112,0.69908287,0.0
2021-02-20,California,State,2625,13,194,1,157,1,27991863,1003005,13.44778557,1.88006469,0.89975127,0.07121457,0.67825833,0.01424291
2021-02-21,California,State,2243,13,178,1,150,1,27938529,1020182,13.08484883,1.96043451,0.87078928,0.08401862,0.65347545,0.02800621
2021-02-22,California,State,3934,43,237,1,153,0,27813001,1084858,12.84445563,2.09375658,0.84955131,0.0658414,0.6358794,0.02633656
2021-02-23,California,State,3426,24,221,1,138,0,27681944,1173626,12.20548053,1.95973845,0.80299893,0.07303373,0.60431346,0.02434458
2021-02-24,California,State,3259,20,205,0,142,0,27540293,1290893,11.73553237,1.75957928,0.78067434,0.05533268,0.57889207,0.02213307
2021-02-25,California,State,2870,25,199,2,133,0,27390939,1417027,11.38854192,1.59287216,0.76771999,0.07057029,0.55753578,0.02016294
2021-02-26,California,State,2806,29,202,1,132,1,27238064,1547659,11.09948825,1.54149867,0.75314772,0.06461372,0.52709851,0.02769159
2021-02-27,California,State,2122,12,154,1,126,0,27142908,1625271,10.87366384,1.45909733,0.73473547,0.0615282,0.51263062,0.01757949
2021-02-28,California,State,1865,14,155,1,128,0,27089454,1670790,10.69578062,1.42789596,0.72405615,0.05985193,0.50204039,0.00855028
2021-03-01,California,State,3169,20,215,0,109,0,27008077,1737723,10.32336681,1.18381517,0.71460104,0.04932563,0.48027961,0.00822094
2021-03-02,California,State,2702,35,166,3,114,0,26870293,1861644,9.99138448,1.18942489,0.68902433,0.06138967,0.46998265,0.00767371
2021-03-03,California,State,2640,40,141,2,97,2,26738214,2000267,9.7100192,1.24983315,0.65823394,0.07141904,0.44826159,0.02142571
2021-03-04,California,State,2472,34,164,2,91,1,26602481,2150122,9.54583361,1.22252199,0.64279719,0.06644141,0.42799445,0.02657657
2021-03-05,California,State,2411,28,200,4,93,0,26467341,2280853,9.38137307,1.14618773,0.64499976,0.08142317,0.40912955,0.01878996
2021-03-06,California,State,1839,18,137,2,80,0,26379482,2355979,9.25936085,1.1460204,0.63794169,0.0848904,0.38558106,0.0181908
2021-03-07,California,State,1643,26,148,2,76,0,26333690,2402089,9.15502971,1.19538809,0.6352536,0.08920807,0.35804217,0.01784161
2021-03-08,California,State,2782,40,176,2,78,0,26245448,2493052,8.97516182,1.26637666,0.61616127,0.09741359,0.3423723,0.01719063
2021-03-09,California,State,2370,35,132,2,71,0,26132313,2627281,8.83252415,1.20167689,0.60024209,0.08699923,0.32034778,0.01631236
2021-03-10,California,State,2340,45,161,4,74,1,25989009,2790538,8.71632202,1.15697096,0.6145455,0.09214813,0.30947148,0.01023868
2021-03-11,California,State,2124,43,141,6,66,0,25808956,2958107,8.5845062,1.13489568,0.6061019,0.10624555,0.29779253,0.00482934
2021-03-12,California,State,2053,43,123,4,69,0,25598891,3129921,8.45516539,1.14106029,0.56810497,0.10041331,0.28684278,0.00456424
2021-03-13,California,State,1572,25,133,4,63,0,25447268,3251116,8.35565419,1.12928255,0.56924438,0.10545829,0.27900834,0.0043941
2021-03-14,California,State,1351,26,88,2,50,0,25363987,3313977,8.21862678,1.10786181,0.53731976,0.10345791,0.26528051,0.00431075
2021-03-15,California,State,2403,45,158,6,40,0,25212627,3427524,8.053221,1.09200027,0.5303465,0.11670232,0.24534192,0.00416794
2021-03-16,California,State,2095,45,144,4,62,1,25025102,3559094,7.95658238,1.09177063,0.54117091,0.12041588,0.24204268,0.00802773
2021-03-17,California,State,2133,49,140,1,69,0,24819864,3714068,7.90323198,1.06160069,0.53355881,0.10385224,0.24116628,0.00384638
